dtype_f,dtype_y,method,package,n_steps,sol_relerr,grad_x_relerr,grad_A_relerr
torch.float16,torch.float32,rk4,torchdiffeq,2048,0.00020941710540521344,0.001494924072176218,0.44964316487312317
torch.float16,torch.float32,rk4,torchdiffeq,4096,0.0001653132972853677,0.003007609397172928,0.7227932214736938
torch.float16,torch.float32,rk4,torchdiffeq,8192,3.829580787378028e-05,0.010066946037113667,0.8611330986022949
torch.float16,torch.float32,rk4,torchmpnode,32,0.0005063207139192088,3.5315340937813744e-05,0.0003103050112258643
torch.float16,torch.float32,rk4,torchmpnode,64,0.0002259596685433837,0.0005308359395712614,0.00011783554509747773
torch.float16,torch.float32,rk4,torchmpnode,128,0.0003816186627447807,0.00038929807487875223,0.0001788442168617621
torch.float16,torch.float32,rk4,torchmpnode,256,0.0002755206535423126,0.0007431426784023643,0.00045469077304005623
torch.float16,torch.float32,rk4,torchmpnode,512,0.00020471561726350163,0.0007785271154716611,0.0004582299152389169
torch.float16,torch.float32,rk4,torchmpnode,1024,0.0002846064819935908,0.0006325662252493203,0.0002982745645567775
torch.float16,torch.float32,rk4,torchmpnode,2048,0.0002400033960360534,0.00016372221580240875,0.00010552768071647733
torch.float16,torch.float32,rk4,torchmpnode,4096,0.0003606013403124489,0.0003130003751721233,0.00015515416453126818
torch.float16,torch.float32,rk4,torchmpnode,8192,0.00035896891927477244,0.0002973814553115517,0.0002050641633104533
